n,With hidden deps,No hidden deps
2,1.56854256854256,8.59451659451659
3,37.868686868687,129.834054834055
4,58.05772005772,346.522366522366
5,16.269841269841,452.914862914863
6,2.51370851370899,471.792207792208
7,1.97113997114002,473.649350649351
8,1.66522366522298,474.134199134199
